frame,raw_frame_number,acquisition_time_s,measured_temperature_C,nominal_stage_C,phase,time_since_heating_start_s,time_at_high_temperature_s,d5i_monitor,d5i_normalization_factor,exposure_s,transmission,key_frame_suggested,key_frame_selected,key_frame_role,key_frame_selection_source
0,1,0.0,25.7,,heating ramp,0.0,,12.601,1.0,1.0,0.00155034,True,True,series_start,registry
1,2,2.55,28.5,,heating ramp,2.55,,12.502,1.0079187330027195,1.0,0.00155034,False,False,,registry
2,3,5.4,32.6,,heating ramp,5.4,,12.412,1.01522719948437,1.0,0.00155034,False,False,,registry
3,4,8.45,36.9,,heating ramp,8.45,,12.351,1.0202412760100397,1.0,0.00155034,False,False,,registry
4,5,11.22,41.5,,heating ramp,11.22,,12.611,0.999207041471731,1.0,0.00155034,False,False,,registry
5,6,14.25,46.0,,heating ramp,14.25,,12.253,1.0284012078674611,1.0,0.00155034,True,True,selected_heating_ramp,registry
6,7,17.21,50.8,,heating ramp,17.21,,12.717,0.9908783518125345,1.0,0.00155034,False,False,,registry
7,8,20.01,55.4,,heating ramp,20.01,,12.635,0.9973090621290068,1.0,0.00155034,False,False,,registry
8,9,23.05,58.4,,heating ramp,23.05,,12.511,1.007193669570778,1.0,0.00155034,False,False,,registry
9,10,25.83,62.1,,heating ramp,25.83,,12.313,1.0233899130999757,1.0,0.00155034,False,False,,registry
10,11,28.84,65.7,,heating ramp,28.84,,12.642,0.9967568422717925,1.0,0.00155034,True,True,selected_heating_ramp,registry
11,12,31.79,68.5,,heating ramp,31.79,,12.693,0.9927519105018515,1.0,0.00155034,False,False,,registry
12,13,34.65,71.0,,heating ramp,34.65,,12.223,1.030925304753334,1.0,0.00155034,False,False,,registry
13,14,37.65,73.8,,heating ramp,37.65,,12.252,1.0284851452824029,1.0,0.00155034,False,False,,registry
14,15,40.51,75.4,,heating ramp,40.51,,12.246,1.028989057651478,1.0,0.00155034,False,False,,registry
15,16,43.55,77.7,,heating ramp,43.55,,12.866,0.979403077879683,1.0,0.00155034,True,True,selected_heating_ramp,registry
16,17,46.39,78.8,,heating ramp,46.39,,12.575,1.0020675944333997,1.0,0.00155034,False,False,,registry
17,18,49.28,80.2,,heating ramp,49.28,,12.486,1.0092103155534198,1.0,0.00155034,False,False,,registry
18,19,52.25,81.3,,heating ramp,52.25,,12.562,1.0031046011781564,1.0,0.00155034,False,False,,registry
19,20,55.11,81.7,,heating ramp,55.11,,12.496,1.0084026888604354,1.0,0.00155034,False,False,,registry
20,21,58.15,82.6,,heating ramp,58.15,,12.593,1.0006352735646789,1.0,0.00155034,True,True,selected_heating_ramp,registry
21,22,61.03,83.4,,high-temperature period,61.03,0.0,12.746,0.9886238820021968,1.0,0.00155034,False,False,,registry
22,23,63.98,83.6,,high-temperature period,63.98,2.9499999999999957,12.489,1.0089678917447353,1.0,0.00155034,False,False,,registry
23,24,66.87,84.0,,high-temperature period,66.87,5.840000000000003,12.523,1.0062285394873434,1.0,0.00155034,False,False,,registry
24,25,69.72,84.1,,high-temperature period,69.72,8.689999999999998,12.513,1.0070326860065533,1.0,0.00155034,False,False,,registry
25,26,72.76,84.2,,high-temperature period,72.76,11.730000000000004,12.54,1.0048644338118025,1.0,0.00155034,True,True,selected_high_temperature_period,registry
26,27,75.64,84.4,,high-temperature period,75.64,14.61,12.787,0.985453976695081,1.0,0.00155034,False,False,,registry
27,28,78.64,84.2,,high-temperature period,78.64,17.61,12.588,1.0010327295837307,1.0,0.00155034,False,False,,registry
28,29,81.61,84.2,,high-temperature period,81.61,20.58,12.549,1.0041437564746196,1.0,0.00155034,False,False,,registry
29,30,84.48,84.1,,high-temperature period,84.48,23.450000000000003,12.331,1.0218960343848837,1.0,0.00155034,False,False,,registry
30,31,87.48,84.0,,high-temperature period,87.48,26.450000000000003,12.383,1.0176047807477995,1.0,0.00155034,False,False,,registry
31,32,90.37,84.0,,high-temperature period,90.37,29.340000000000003,12.264,1.0274787997390737,1.0,0.00155034,False,False,,registry
32,33,93.32,83.8,,high-temperature period,93.32,32.28999999999999,12.565,1.002865101472344,1.0,0.00155034,False,False,,registry
33,34,96.33,83.8,,high-temperature period,96.33,35.3,12.45,1.012128514056225,1.0,0.00155034,False,False,,registry
34,35,99.05,83.7,,high-temperature period,99.05,38.019999999999996,12.323,1.0225594416943926,1.0,0.00155034,False,False,,registry
35,36,102.06,83.5,,high-temperature period,102.06,41.03,12.442,1.0127792959331299,1.0,0.00155034,False,False,,registry
36,37,104.91,83.7,,high-temperature period,104.91,43.879999999999995,12.652,0.9959690167562442,1.0,0.00155034,False,False,,registry
37,38,107.96,83.6,,high-temperature period,107.96,46.92999999999999,12.345,1.02073714054273,1.0,0.00155034,False,False,,registry
38,39,110.91,83.7,,high-temperature period,110.91,49.879999999999995,12.596,1.000396951413147,1.0,0.00155034,False,False,,registry
39,40,113.79,83.5,,high-temperature period,113.79,52.760000000000005,12.51,1.0072741806554757,1.0,0.00155034,False,False,,registry
40,41,116.78,83.5,,high-temperature period,116.78,55.75,12.34,1.0211507293354944,1.0,0.00155034,False,False,,registry
41,42,119.68,83.5,,high-temperature period,119.68,58.650000000000006,12.461,1.0112350533665035,1.0,0.00155034,False,False,,registry
42,43,122.62,83.5,,high-temperature period,122.62,61.59,12.302,1.0243049910583646,1.0,0.00155034,False,False,,registry
43,44,125.48,83.6,,high-temperature period,125.48,64.45,12.232,1.030166775670373,1.0,0.00155034,False,False,,registry
44,45,128.45,83.4,,high-temperature period,128.45,67.41999999999999,12.446,1.012453800417805,1.0,0.00155034,False,False,,registry
45,46,131.43,83.6,,high-temperature period,131.43,70.4,12.612,0.999127814779575,1.0,0.00155034,False,False,,registry
46,47,134.24,83.6,,high-temperature period,134.24,73.21000000000001,12.718,0.9908004403208053,1.0,0.00155034,False,False,,registry
47,48,137.34,83.4,,high-temperature period,137.34,76.31,12.751,0.9882362167673124,1.0,0.00155034,False,False,,registry
48,49,140.16,83.4,,high-temperature period,140.16,79.13,12.488,1.0090486867392698,1.0,0.00155034,False,False,,registry
49,50,143.17,83.3,,high-temperature period,143.17,82.13999999999999,12.211,1.031938416182131,1.0,0.00155034,False,False,,registry
50,51,146.1,83.5,,high-temperature period,146.1,85.07,12.29,1.025305126118796,1.0,0.00155034,False,False,,registry
51,52,149.02,83.5,,high-temperature period,149.02,87.99000000000001,12.797,0.9846839102914746,1.0,0.00155034,False,False,,registry
52,53,152.0,83.5,,high-temperature period,152.0,90.97,12.417,1.0148183941370703,1.0,0.00155034,False,False,,registry
53,54,154.85,83.8,,high-temperature period,154.85,93.82,12.867,0.9793269604414393,1.0,0.00155034,False,False,,registry
54,55,157.9,83.6,,high-temperature period,157.9,96.87,12.731,0.9897887047364701,1.0,0.00155034,False,False,,registry
55,56,160.78,83.3,,high-temperature period,160.78,99.75,12.511,1.007193669570778,1.0,0.00155034,False,False,,registry
56,57,163.69,83.5,,high-temperature period,163.69,102.66,12.78,0.9859937402190925,1.0,0.00155034,False,False,,registry
57,58,166.83,83.6,,high-temperature period,166.83,105.80000000000001,13.076,0.9636739063933925,1.0,0.00155034,False,False,,registry
58,59,169.72,83.4,,high-temperature period,169.72,108.69,12.616,0.9988110336081167,1.0,0.00155034,False,False,,registry
59,60,172.7,83.5,,high-temperature period,172.7,111.66999999999999,12.837,0.9816156422840229,1.0,0.00155034,False,False,,registry
60,61,175.68,83.4,,high-temperature period,175.68,114.65,12.924,0.9750077375425565,1.0,0.00155034,True,True,selected_high_temperature_period,registry
61,62,178.49,83.6,,high-temperature period,178.49,117.46000000000001,12.587,1.0011122586795902,1.0,0.00155034,False,False,,registry
62,63,181.51,83.6,,high-temperature period,181.51,120.47999999999999,12.886,0.977882973769983,1.0,0.00155034,False,False,,registry
63,64,184.39,83.7,,high-temperature period,184.39,123.35999999999999,12.492,1.0087255843739993,1.0,0.00155034,False,False,,registry
64,65,187.47,83.9,,high-temperature period,187.47,126.44,12.787,0.985453976695081,1.0,0.00155034,False,False,,registry
65,66,190.3,83.8,,high-temperature period,190.3,129.27,12.87,0.9790986790986792,1.0,0.00155034,False,False,,registry
66,67,193.25,83.6,,high-temperature period,193.25,132.22,12.755,0.9879263034104273,1.0,0.00155034,False,False,,registry
67,68,196.29,83.6,,high-temperature period,196.29,135.26,12.699,0.9922828569178677,1.0,0.00155034,False,False,,registry
68,69,199.07,83.6,,high-temperature period,199.07,138.04,12.924,0.9750077375425565,1.0,0.00155034,False,False,,registry
69,70,202.04,83.8,,high-temperature period,202.04,141.01,12.602,0.9999206475162673,1.0,0.00155034,False,False,,registry
70,71,204.91,83.8,,high-temperature period,204.91,143.88,12.629,0.9977828806714705,1.0,0.00155034,False,False,,registry
71,72,207.9,83.7,,high-temperature period,207.9,146.87,12.838,0.9815391805577194,1.0,0.00155034,False,False,,registry
72,73,210.79,83.8,,high-temperature period,210.79,149.76,12.825,0.9825341130604289,1.0,0.00155034,False,False,,registry
73,74,213.67,83.9,,high-temperature period,213.67,152.64,12.541,1.0047843074714935,1.0,0.00155034,False,False,,registry
74,75,216.66,83.8,,high-temperature period,216.66,155.63,12.807,0.9839150464589678,1.0,0.00155034,False,False,,registry
75,76,219.51,83.8,,high-temperature period,219.51,158.48,12.702,0.9920484962997954,1.0,0.00155034,False,False,,registry
76,77,222.5,83.7,,high-temperature period,222.5,161.47,12.509,1.007354704612679,1.0,0.00155034,False,False,,registry
77,78,225.43,83.7,,high-temperature period,225.43,164.4,12.876,0.9786424355389873,1.0,0.00155034,False,False,,registry
78,79,228.26,83.9,,high-temperature period,228.26,167.23,12.634,0.997388000633212,1.0,0.00155034,False,False,,registry
79,80,231.27,83.7,,high-temperature period,231.27,170.24,12.71,0.9914240755310779,1.0,0.00155034,False,False,,registry
80,81,234.1,83.6,,high-temperature period,234.1,173.07,12.732,0.9897109644989005,1.0,0.00155034,False,False,,registry
81,82,237.11,83.5,,high-temperature period,237.11,176.08,12.581,1.0015896987520865,1.0,0.00155034,False,False,,registry
82,83,240.04,83.4,,high-temperature period,240.04,179.01,12.568,1.002625716104392,1.0,0.00155034,False,False,,registry
83,84,242.84,83.6,,high-temperature period,242.84,181.81,12.7,0.992204724409449,1.0,0.00155034,False,False,,registry
84,85,245.85,83.9,,high-temperature period,245.85,184.82,12.613,0.999048600650123,1.0,0.00155034,False,False,,registry
85,86,248.71,83.7,,high-temperature period,248.71,187.68,12.516,1.0067913071268777,1.0,0.00155034,False,False,,registry
86,87,251.78,83.7,,high-temperature period,251.78,190.75,12.665,0.9949467035136204,1.0,0.00155034,False,False,,registry
87,88,254.78,83.8,,high-temperature period,254.78,193.75,12.704,0.9918923173803527,1.0,0.00155034,False,False,,registry
88,89,257.57,83.6,,high-temperature period,257.57,196.54,12.578,1.0018285896008905,1.0,0.00155034,False,False,,registry
89,90,260.51,83.8,,high-temperature period,260.51,199.48,12.732,0.9897109644989005,1.0,0.00155034,False,False,,registry
90,91,263.33,83.7,,high-temperature period,263.33,202.29999999999998,12.663,0.9951038458501146,1.0,0.00155034,False,False,,registry
91,92,266.28,83.6,,high-temperature period,266.28,205.24999999999997,12.426,1.0140833735715435,1.0,0.00155034,False,False,,registry
92,93,269.13,83.8,,high-temperature period,269.13,208.1,12.706,0.9917361876278924,1.0,0.00155034,False,False,,registry
93,94,272.11,83.8,,high-temperature period,272.11,211.08,12.827,0.9823809152568801,1.0,0.00155034,False,False,,registry
94,95,275.11,83.8,,high-temperature period,275.11,214.08,12.617,0.9987318696996116,1.0,0.00155034,False,False,,registry
95,96,277.86,83.7,,high-temperature period,277.86,216.83,12.648,0.9962839974699558,1.0,0.00155034,False,False,,registry
96,97,280.9,83.6,,high-temperature period,280.9,219.86999999999998,12.802,0.9842993282299641,1.0,0.00155034,False,False,,registry
97,98,283.75,83.6,,high-temperature period,283.75,222.72,12.563,1.0030247552336227,1.0,0.00155034,False,False,,registry
98,99,286.79,83.7,,high-temperature period,286.79,225.76000000000002,12.732,0.9897109644989005,1.0,0.00155034,False,False,,registry
99,100,289.69,83.8,,high-temperature period,289.69,228.66,12.846,0.980927915304375,1.0,0.00155034,False,False,,registry
100,101,292.55,83.8,,high-temperature period,292.55,231.52,12.711,0.9913460781999843,1.0,0.00155034,False,False,,registry
101,102,295.61,83.9,,high-temperature period,295.61,234.58,12.896,0.9771246898263027,1.0,0.00155034,False,False,,registry
102,103,298.32,83.9,,high-temperature period,298.32,237.29,12.59,1.00087370929309,1.0,0.00155034,False,False,,registry
103,104,301.34,84.0,,high-temperature period,301.34,240.30999999999997,12.558,1.0034241121197645,1.0,0.00155034,False,False,,registry
104,105,304.16,84.0,,high-temperature period,304.16,243.13000000000002,12.59,1.00087370929309,1.0,0.00155034,False,False,,registry
105,106,307.08,83.9,,high-temperature period,307.08,246.04999999999998,12.608,0.9994447969543148,1.0,0.00155034,False,False,,registry
106,107,310.12,83.9,,high-temperature period,310.12,249.09,12.834,0.9818450989558984,1.0,0.00155034,False,False,,registry
107,108,312.89,83.9,,high-temperature period,312.89,251.85999999999999,12.626,0.9980199588151435,1.0,0.00155034,False,False,,registry
108,109,315.9,83.8,,high-temperature period,315.9,254.86999999999998,12.368,1.0188389391979302,1.0,0.00155034,False,False,,registry
109,110,318.7,83.9,,high-temperature period,318.7,257.66999999999996,12.832,0.9819981296758105,1.0,0.00155034,False,False,,registry
110,111,321.67,84.0,,high-temperature period,321.67,260.64,12.595,1.0004763795156808,1.0,0.00155034,True,True,series_end,registry
