window,profile,eta_shared,n_points,n_parameters,chi2_empirical,aic,aicc,bic,delta_bic_from_best,selected,n_frames_fitted,temperature_min_fitted_C,temperature_max_fitted_C
lamellar_low_q,gaussian,,35.0,11.0,29.268217376807495,15.740394711699402,27.21865558126462,32.84922338808295,1.0258457605477815,False,1,40.0,40.0
lamellar_low_q,lorentzian,,35.0,11.0,28.422819249437367,14.71454895115162,26.19280982071684,31.823377627535166,0.0,True,1,40.0,40.0
lamellar_low_q,pseudo_voigt,1.0,35.0,12.0,28.422819249434692,16.71454895114833,30.89636713296651,35.378725689021294,3.5553480614861286,False,1,40.0,40.0
heated_low_q_0480_0536,gaussian,,21.0,8.0,15.573648181262854,9.722214409899594,21.722214409899593,18.07839391168698,4.260159331324935,False,1,40.0,40.0
heated_low_q_0480_0536,lorentzian,,21.0,8.0,12.714149875917713,5.462055078574661,17.46205507857466,13.818234580362045,0.0,True,1,40.0,40.0
heated_low_q_0480_0536,pseudo_voigt,1.0,21.0,9.0,12.714149875916577,7.462055078572785,23.82569144220915,16.86275701808359,3.0445224377215467,False,1,40.0,40.0
heated_low_q_0604_0642,gaussian,,19.0,8.0,6.153883616812242,-5.419756670572092,8.980243329427909,2.1357551627594304,0.0,True,1,40.0,40.0
heated_low_q_0604_0642,lorentzian,,19.0,8.0,8.796140010517071,1.367606207492532,15.767606207492532,8.923118040824054,6.787362878064624,False,1,40.0,40.0
heated_low_q_0604_0642,pseudo_voigt,0.0,19.0,9.0,6.1538836168096385,-3.419756670580128,16.580243329419872,5.080194141917836,2.944438979158406,False,1,40.0,40.0
q0754,gaussian,,16.0,5.0,1.9113049421976924,-23.996839962505668,-17.996839962505668,-20.13389635130676,0.0,True,1,40.0,40.0
q0754,lorentzian,,16.0,5.0,14.363564405531651,8.273696451756782,14.273696451756782,12.136640062955689,32.27053641426245,False,1,40.0,40.0
q0754,pseudo_voigt,0.188751,16.0,6.0,1.6785711755616526,-24.07433250294666,-14.740999169613326,-19.438800169507974,0.6950961817987853,False,1,40.0,40.0
q0947,gaussian,,21.0,5.0,16.417773313596026,4.830683027316971,8.830683027316972,10.053295215934085,0.0,True,1,40.0,40.0
q0947,lorentzian,,21.0,5.0,20.09036309224931,9.070074098678665,13.070074098678665,14.29268628729578,4.239391071361695,False,1,40.0,40.0
q0947,pseudo_voigt,0.263716,21.0,6.0,16.14475618399578,6.478530159354113,12.478530159354113,12.745664785694652,2.692369569760567,False,1,40.0,40.0
q1532,gaussian,,26.0,5.0,1703.6337857043213,118.7429780262171,121.7429780262171,125.03346071632451,4.242964682373994,False,1,40.0,40.0
q1532,lorentzian,,26.0,5.0,3133.502281021588,134.5870615493368,137.5870615493368,140.8775442394442,20.087048205493687,False,1,40.0,40.0
q1532,pseudo_voigt,0.401939,26.0,6.0,1276.6776737024559,113.24191680582162,117.66296943740056,120.79049603395052,0.0,True,1,40.0,40.0
pi_pi_sharp_pair,gaussian,,26.0,8.0,13.397328298280256,-1.2390720233926906,7.231516211901427,8.825700280779166,0.5541159659479113,True,1,40.0,40.0
pi_pi_sharp_pair,lorentzian,,26.0,8.0,35.408918825483475,24.030547059816527,32.50113529511064,34.09531936398838,25.823735049157126,False,1,40.0,40.0
pi_pi_sharp_pair,pseudo_voigt,0.311975,26.0,9.0,11.57018752000339,-3.0512845273620854,8.198715472637915,8.271584314831255,0.0,False,1,40.0,40.0
q1999_single,gaussian,,16.0,5.0,226.9345966675747,52.433170133116846,58.433170133116846,56.296113744315754,0.5775247695215882,False,1,40.0,40.0
q1999_single,lorentzian,,16.0,5.0,218.88939519450554,51.85564536359526,57.85564536359526,55.718588974794166,0.0,True,1,40.0,40.0
q1999_single,pseudo_voigt,0.714964,16.0,6.0,211.42700659061137,53.300657506800874,62.63399084013421,57.936189840239564,2.217600865445398,False,1,40.0,40.0
q2086_q2117_pair,gaussian,,21.0,8.0,31.664425947527093,24.624099466226795,36.624099466226795,32.98027896801418,0.0,True,1,40.0,40.0
q2086_q2117_pair,lorentzian,,21.0,8.0,47.91151907081098,33.32150390798157,45.32150390798157,41.67768340976896,8.697404441754777,False,1,40.0,40.0
q2086_q2117_pair,pseudo_voigt,0.0,21.0,9.0,31.664425947527082,26.624099466226788,42.987735829863155,36.02480140573759,3.0445224377234084,False,1,40.0,40.0
q2279,gaussian,,16.0,5.0,14.84929243636217,8.805815911851774,14.805815911851774,12.66875952305068,0.0,True,1,40.0,40.0
q2279,lorentzian,,16.0,5.0,23.27293030650392,15.995234776175138,21.99523477617514,19.858178387374046,7.1894188643233665,False,1,40.0,40.0
q2279,pseudo_voigt,0.0,16.0,6.0,14.849292436361928,10.805815911851514,20.139149245184846,15.4413482452902,2.7725887222395205,False,1,40.0,40.0
